file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions$Anonymous1,createFromParcel/1[com.inuker.bluetooth.library.connect.options.Parcel],in,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/options/BleConnectOptions.java,com.inuker.bluetooth.library.connect.options.BleConnectOptions$Anonymous1,newArray/1[int],size,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous6,"onConnectStatusChanged/2[java.lang.String,int]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous6,"onConnectStatusChanged/2[java.lang.String,int]",status,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous5,"onResponse/2[int,java.lang.Integer]",code,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous5,"onResponse/2[int,java.lang.Integer]",data,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/WriteCharacterListener.java,com.inuker.bluetooth.library.connect.listener.WriteCharacterListener,"onCharacteristicWrite/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",value,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/WriteCharacterListener.java,com.inuker.bluetooth.library.connect.listener.WriteCharacterListener,"onCharacteristicWrite/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",characteristic,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/WriteCharacterListener.java,com.inuker.bluetooth.library.connect.listener.WriteCharacterListener,"onCharacteristicWrite/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",status,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous4,onResponse/1[int],code,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous3,"onNotify/3[java.util.UUID,java.util.UUID,byte[]]",character,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous3,"onNotify/3[java.util.UUID,java.util.UUID,byte[]]",service,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous3,"onNotify/3[java.util.UUID,java.util.UUID,byte[]]",value,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous3,onResponse/1[int],code,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous2,onResponse/1[int],code,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous1,"onResponse/2[int,byte[]]",code,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/app/src/main/java/com/inuker/bluetooth/CharacterActivity.java,com.inuker.bluetooth.CharacterActivity$Anonymous1,"onResponse/2[int,byte[]]",data,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readDescriptor/5[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readDescriptor/5[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readDescriptor/5[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readDescriptor/5[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",descriptor,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readDescriptor/5[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,registerBluetoothStateListener/1[com.inuker.bluetooth.library.connect.listener.BluetoothStateListener],listener,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"clearRequest/2[java.lang.String,int]",type,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"clearRequest/2[java.lang.String,int]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"registerConnectStatusListener/2[java.lang.String,com.inuker.bluetooth.library.connect.listener.BleConnectStatusListener]",listener,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"registerConnectStatusListener/2[java.lang.String,com.inuker.bluetooth.library.connect.listener.BleConnectStatusListener]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"notify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"notify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"notify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"notify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"write/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"write/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"write/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"write/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",value,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"write/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readRssi/2[java.lang.String,com.inuker.bluetooth.library.connect.response.BleReadRssiResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"readRssi/2[java.lang.String,com.inuker.bluetooth.library.connect.response.BleReadRssiResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"indicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"indicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"indicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"indicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleNotifyResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,refreshCache/1[java.lang.String],mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeDescriptor/6[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeDescriptor/6[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeDescriptor/6[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeDescriptor/6[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",descriptor,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeDescriptor/6[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",value,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeDescriptor/6[java.lang.String,java.util.UUID,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"connect/3[java.lang.String,com.inuker.bluetooth.library.connect.options.BleConnectOptions,com.inuker.bluetooth.library.connect.response.BleConnectResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"connect/3[java.lang.String,com.inuker.bluetooth.library.connect.options.BleConnectOptions,com.inuker.bluetooth.library.connect.response.BleConnectResponse]",options,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"connect/3[java.lang.String,com.inuker.bluetooth.library.connect.options.BleConnectOptions,com.inuker.bluetooth.library.connect.response.BleConnectResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"search/2[com.inuker.bluetooth.library.search.SearchRequest,com.inuker.bluetooth.library.search.response.SearchResponse]",request,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"search/2[com.inuker.bluetooth.library.search.SearchRequest,com.inuker.bluetooth.library.search.response.SearchResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,registerBluetoothBondListener/1[com.inuker.bluetooth.library.receiver.listener.BluetoothBondListener],listener,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,disconnect/1[java.lang.String],mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unnotify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unnotify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unnotify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unnotify/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unregisterConnectStatusListener/2[java.lang.String,com.inuker.bluetooth.library.connect.listener.BleConnectStatusListener]",listener,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unregisterConnectStatusListener/2[java.lang.String,com.inuker.bluetooth.library.connect.listener.BleConnectStatusListener]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,unregisterBluetoothBondListener/1[com.inuker.bluetooth.library.receiver.listener.BluetoothBondListener],listener,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"requestMtu/3[java.lang.String,int,com.inuker.bluetooth.library.connect.response.BleMtuResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"requestMtu/3[java.lang.String,int,com.inuker.bluetooth.library.connect.response.BleMtuResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"requestMtu/3[java.lang.String,int,com.inuker.bluetooth.library.connect.response.BleMtuResponse]",mtu,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,unregisterBluetoothStateListener/1[com.inuker.bluetooth.library.connect.listener.BluetoothStateListener],listener,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"read/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"read/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"read/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"read/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleReadResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeNoRsp/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeNoRsp/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeNoRsp/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeNoRsp/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",value,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"writeNoRsp/5[java.lang.String,java.util.UUID,java.util.UUID,byte[],com.inuker.bluetooth.library.connect.response.BleWriteResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unindicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",character,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unindicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",service,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unindicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",response,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/IBluetoothClient.java,com.inuker.bluetooth.library.IBluetoothClient,"unindicate/4[java.lang.String,java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleUnnotifyResponse]",mac,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"BleUnnotifyRequest/3[java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleGeneralResponse]",character,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"BleUnnotifyRequest/3[java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleGeneralResponse]",service,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"BleUnnotifyRequest/3[java.util.UUID,java.util.UUID,com.inuker.bluetooth.library.connect.response.BleGeneralResponse]",response,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"onDescriptorWrite/2[com.inuker.bluetooth.library.connect.request.BluetoothGattDescriptor,int]",descriptor,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/request/BleUnnotifyRequest.java,com.inuker.bluetooth.library.connect.request.BleUnnotifyRequest,"onDescriptorWrite/2[com.inuker.bluetooth.library.connect.request.BluetoothGattDescriptor,int]",status,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/IBluetoothGattResponse.java,com.inuker.bluetooth.library.connect.listener.IBluetoothGattResponse,"onCharacteristicRead/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",value,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/IBluetoothGattResponse.java,com.inuker.bluetooth.library.connect.listener.IBluetoothGattResponse,"onCharacteristicRead/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",characteristic,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/IBluetoothGattResponse.java,com.inuker.bluetooth.library.connect.listener.IBluetoothGattResponse,"onCharacteristicRead/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",status,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Android-BluetoothKit/library/src/main/java/com/inuker/bluetooth/library/connect/listener/IBluetoothGattResponse.java,com.inuker.bluetooth.library.connect.listener.IBluetoothGattResponse,"onCharacteristicWrite/3[com.inuker.bluetooth.library.connect.listener.BluetoothGattCharacteristic,int,byte[]]",value,0
